from	to	what	count	class	examples	in_ledger
storage-sstable	storage-tablet	src/storage/access/ob_block_batched_row_store.h	1	upward-named	src/storage/blocksstable/ob_micro_block_row_scanner.cpp:21 -> src/storage/access/ob_block_batched_row_store.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_empty_read_bucket.h	1	upward-named	src/storage/blocksstable/ob_bloom_filter_cache.cpp:25 -> src/storage/access/ob_empty_read_bucket.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_index_tree_prefetcher.h	1	upward-named	src/storage/blocksstable/ob_micro_block_row_lock_checker.cpp:20 -> src/storage/access/ob_index_tree_prefetcher.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_micro_block_handle_mgr.h	3	upward-named	src/storage/access/ob_index_sstable_estimator.h:20 -> src/storage/access/ob_micro_block_handle_mgr.h: (include); src/storage/blocksstable/index_block/ob_sstable_index_scanner.h:20 -> src/storage/access/ob_micro_block_handle_mgr.h: (include); src/storage/blocksstable/index_block/ob_sstable_sec_meta_iterator.h:20 -> src/storage/access/ob_micro_block_handle_mgr.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_pushdown_aggregate.h	4	upward-named	src/storage/blocksstable/encoding/ob_const_decoder.cpp:20 -> src/storage/access/ob_pushdown_aggregate.h: (include); src/storage/blocksstable/encoding/ob_dict_decoder.cpp:22 -> src/storage/access/ob_pushdown_aggregate.h: (include); src/storage/blocksstable/encoding/ob_micro_block_decoder.cpp:19 -> src/storage/access/ob_pushdown_aggregate.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_rows_info.h	4	upward-named	src/storage/blocksstable/index_block/ob_ddl_index_block_row_iterator.cpp:19 -> src/storage/access/ob_rows_info.h: (include); src/storage/blocksstable/index_block/ob_index_block_row_scanner.cpp:19 -> src/storage/access/ob_rows_info.h: (include); src/storage/blocksstable/ob_bloom_filter_cache.cpp:24 -> src/storage/access/ob_rows_info.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_simple_rows_merger.h	2	upward-named	src/storage/blocksstable/index_block/ob_ddl_sstable_scan_merge.h:22 -> src/storage/access/ob_simple_rows_merger.h: (include); src/storage/blocksstable/index_block/ob_index_block_row_scanner.h:30 -> src/storage/access/ob_simple_rows_merger.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_sstable_multi_version_row_iterator.h	1	upward-named	src/storage/blocksstable/ob_sstable.cpp:21 -> src/storage/access/ob_sstable_multi_version_row_iterator.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_sstable_row_getter.h	2	upward-named	src/storage/blocksstable/ob_micro_block_row_getter.cpp:20 -> src/storage/access/ob_sstable_row_getter.h: (include); src/storage/blocksstable/ob_sstable.cpp:24 -> src/storage/access/ob_sstable_row_getter.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_sstable_row_lock_checker.h	1	upward-named	src/storage/blocksstable/ob_sstable.cpp:22 -> src/storage/access/ob_sstable_row_lock_checker.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_sstable_row_multi_getter.h	1	upward-named	src/storage/blocksstable/ob_sstable.cpp:25 -> src/storage/access/ob_sstable_row_multi_getter.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_sstable_row_whole_scanner.h	1	upward-named	src/storage/blocksstable/ob_sstable.cpp:23 -> src/storage/access/ob_sstable_row_whole_scanner.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_table_access_context.h	2	upward-named	src/storage/blocksstable/encoding/ob_micro_block_decoder.cpp:20 -> src/storage/access/ob_table_access_context.h: (include); src/storage/blocksstable/ob_micro_block_reader.cpp:20 -> src/storage/access/ob_table_access_context.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_table_access_param.h	2	upward-named	src/storage/blocksstable/encoding/ob_micro_block_decoder.cpp:21 -> src/storage/access/ob_table_access_param.h: (include); src/storage/blocksstable/ob_micro_block_reader.cpp:21 -> src/storage/access/ob_table_access_param.h: (include)	no
storage-sstable	storage-tablet	src/storage/access/ob_table_read_info.h	3	upward-named	src/storage/blocksstable/ob_datum_rowkey_vector.h:21 -> src/storage/access/ob_table_read_info.h: (include); src/storage/blocksstable/ob_imicro_block_reader.h:26 -> src/storage/access/ob_table_read_info.h: (include); src/storage/blocksstable/ob_row_reader.h:26 -> src/storage/access/ob_table_read_info.h: (include)	no
storage-sstable	storage-tablet	src/storage/lob/ob_lob_manager.h	1	upward-named	src/storage/blocksstable/encoding/ob_new_column_decoder.cpp:22 -> src/storage/lob/ob_lob_manager.h: (include)	no
storage-sstable	storage-tablet	src/storage/meta_mem/ob_meta_obj_struct.h	3	upward-named	src/storage/blocksstable/index_block/ob_index_block_builder.h:29 -> src/storage/meta_mem/ob_meta_obj_struct.h: (include); src/storage/blocksstable/index_block/ob_sstable_meta_info.h:22 -> src/storage/meta_mem/ob_meta_obj_struct.h: (include); src/storage/blockstore/ob_object_reader_writer.h:20 -> src/storage/meta_mem/ob_meta_obj_struct.h: (include)	no
storage-sstable	storage-tablet	src/storage/meta_mem/ob_storage_meta_cache.h	2	upward-named	src/storage/blocksstable/ob_sstable.h:21 -> src/storage/meta_mem/ob_storage_meta_cache.h: (include); src/storage/blocksstable/ob_storage_cache_suite.h:20 -> src/storage/meta_mem/ob_storage_meta_cache.h: (include)	no
storage-sstable	storage-tablet	src/storage/meta_mem/ob_storage_meta_mem_mgr.h	2	upward-named	src/storage/blocksstable/ob_block_manager.cpp:24 -> src/storage/meta_mem/ob_storage_meta_mem_mgr.h: (include); src/storage/blocksstable/ob_shared_macro_block_manager.cpp:25 -> src/storage/meta_mem/ob_storage_meta_mem_mgr.h: (include)	no
storage-sstable	storage-tablet	src/storage/meta_mem/ob_tablet_handle.h	2	upward-named	src/storage/blocksstable/index_block/ob_index_block_row_scanner.h:29 -> src/storage/meta_mem/ob_tablet_handle.h: (include); src/storage/blocksstable/ob_micro_block_cache.h:26 -> src/storage/meta_mem/ob_tablet_handle.h: (include)	no
storage-sstable	storage-tablet	src/storage/meta_mem/ob_tablet_pointer.h	2	upward-named	src/storage/blocksstable/ob_micro_block_cache.cpp:19 -> src/storage/meta_mem/ob_tablet_pointer.h: (include); src/storage/blocksstable/ob_shared_macro_block_manager.h:25 -> src/storage/meta_mem/ob_tablet_pointer.h: (include)	no
storage-sstable	storage-tablet	src/storage/meta_store/ob_local_storage_meta_service.h	2	upward-named	src/storage/blocksstable/ob_block_manager.cpp:26 -> src/storage/meta_store/ob_local_storage_meta_service.h: (include); src/storage/blocksstable/ob_object_manager.cpp:20 -> src/storage/meta_store/ob_local_storage_meta_service.h: (include)	no
storage-sstable	storage-tablet	src/storage/meta_store/ob_server_storage_meta_service.h	3	upward-named	src/storage/blocksstable/ob_block_manager.cpp:25 -> src/storage/meta_store/ob_server_storage_meta_service.h: (include); src/storage/blocksstable/ob_shared_macro_block_manager.cpp:24 -> src/storage/meta_store/ob_server_storage_meta_service.h: (include); src/storage/tmp_file/ob_tmp_file_thread_wrapper.cpp:21 -> src/storage/meta_store/ob_server_storage_meta_service.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_all_micro_block_range_iterator.h	1	upward-named	src/storage/blocksstable/ob_sstable.cpp:26 -> src/storage/ob_all_micro_block_range_iterator.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_i_pre_warmer.h	1	upward-named	src/storage/blocksstable/ob_kvcache_pre_warmer.h:22 -> src/storage/ob_i_pre_warmer.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_i_store.h	16	upward-named	src/storage/blocksstable/encoding/ob_icolumn_encoder.h:21 -> src/storage/ob_i_store.h: (include); src/storage/blocksstable/encoding/ob_imicro_block_decoder.h:24 -> src/storage/ob_i_store.h: (include); src/storage/blocksstable/encoding/ob_micro_block_decoder.h:22 -> src/storage/ob_i_store.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_i_table.h	4	upward-named	src/storage/blocksstable/ob_block_sstable_struct.h:34 -> src/storage/ob_i_table.h: (include); src/storage/blocksstable/ob_micro_block_cache.h:24 -> src/storage/ob_i_table.h: (include); src/storage/blocksstable/ob_row_cache.h:23 -> src/storage/ob_i_table.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_obj_buf_array.h	1	upward-named	src/storage/blocksstable/ob_datum_rowkey.h:21 -> src/storage/ob_obj_buf_array.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_row_bitmap.h	1	upward-named	src/storage/blocksstable/ob_micro_block_row_scanner.h:26 -> src/storage/ob_row_bitmap.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_row_fuse.h	2	upward-named	src/storage/blocksstable/ob_micro_block_row_scanner.h:21 -> src/storage/ob_row_fuse.h: (include); src/storage/blocksstable/ob_row_queue.cpp:20 -> src/storage/ob_row_fuse.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_row_id_range.h	2	upward-named	src/storage/blocksstable/index_block/ob_index_block_row_scanner.h:26 -> src/storage/ob_row_id_range.h: (include); src/storage/blocksstable/index_block/ob_index_block_row_struct.h:27 -> src/storage/ob_row_id_range.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_storage_schema.h	1	upward-named	src/storage/blocksstable/ob_sstable_meta.h:22 -> src/storage/ob_storage_schema.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_storage_struct.h	1	upward-named	src/storage/blockstore/ob_object_reader_writer.cpp:19 -> src/storage/ob_storage_struct.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_storage_util.h	2	upward-named	src/storage/blocksstable/encoding/ob_icolumn_decoder.h:23 -> src/storage/ob_storage_util.h: (include); src/storage/blocksstable/ob_datum_row.h:22 -> src/storage/ob_storage_util.h: (include)	no
storage-sstable	storage-tablet	src/storage/ob_super_block_struct.h	3	upward-named	src/storage/blocksstable/ob_block_manager.h:30 -> src/storage/ob_super_block_struct.h: (include); src/storage/blocksstable/ob_object_manager.h:23 -> src/storage/ob_super_block_struct.h: (include); src/storage/blocksstable/ob_super_block_buffer_holder.h:20 -> src/storage/ob_super_block_struct.h: (include)	no
storage-sstable	storage-tablet	src/storage/slog_ckpt/ob_linked_macro_block_reader.h	1	upward-named	src/storage/blocksstable/index_block/ob_sstable_meta_info.cpp:23 -> src/storage/slog_ckpt/ob_linked_macro_block_reader.h: (include)	no
storage-sstable	storage-tablet	src/storage/slog_ckpt/ob_linked_macro_block_struct.h	3	upward-named	src/storage/blocksstable/ob_macro_block_checker.h:26 -> src/storage/slog_ckpt/ob_linked_macro_block_struct.h: (include); src/storage/blocksstable/ob_macro_block_reader.h:23 -> src/storage/slog_ckpt/ob_linked_macro_block_struct.h: (include); src/storage/blocksstable/ob_sstable_printer.h:24 -> src/storage/slog_ckpt/ob_linked_macro_block_struct.h: (include)	no
storage-sstable	storage-tablet	src/storage/slog_ckpt/ob_linked_macro_block_writer.h	1	upward-named	src/storage/blocksstable/index_block/ob_sstable_meta_info.cpp:22 -> src/storage/slog_ckpt/ob_linked_macro_block_writer.h: (include)	no
storage-sstable	storage-tablet	src/storage/tablet/ob_mds_schema_helper.h	1	upward-named	src/storage/blocksstable/ob_shared_macro_block_manager.cpp:22 -> src/storage/tablet/ob_mds_schema_helper.h: (include)	no
storage-sstable	storage-tablet	src/storage/tablet/ob_table_store_util.h	1	upward-named	src/storage/blocksstable/ob_sstable_meta.h:26 -> src/storage/tablet/ob_table_store_util.h: (include)	no
storage-sstable	storage-tablet	src/storage/tablet/ob_tablet.h	2	upward-named	src/storage/access/ob_index_sstable_estimator.h:21 -> src/storage/tablet/ob_tablet.h: (include); src/storage/blocksstable/index_block/ob_index_block_row_scanner.cpp:20 -> src/storage/tablet/ob_tablet.h: (include)	no
storage-sstable	storage-tablet	src/storage/tablet/ob_tablet_block_aggregated_info.h	1	upward-named	src/storage/blocksstable/ob_block_manager.h:31 -> src/storage/tablet/ob_tablet_block_aggregated_info.h: (include)	no
storage-sstable	storage-tablet	src/storage/tablet/ob_tablet_create_sstable_param.h	3	upward-named	src/storage/blocksstable/index_block/ob_sstable_meta_info.cpp:24 -> src/storage/tablet/ob_tablet_create_sstable_param.h: (include); src/storage/blocksstable/index_block/ob_sstable_meta_info.h:23 -> src/storage/tablet/ob_tablet_create_sstable_param.h: (include); src/storage/blocksstable/ob_sstable_meta.cpp:21 -> src/storage/tablet/ob_tablet_create_sstable_param.h: (include)	no
storage-sstable	storage-tablet	src/storage/tablet/ob_tablet_macro_info_iterator.h	1	upward-named	src/storage/blocksstable/ob_block_manager.cpp:27 -> src/storage/tablet/ob_tablet_macro_info_iterator.h: (include)	no
storage-sstable	storage-tablet	src/storage/truncate_info/ob_truncate_filter_evaluator.h	3	upward-named	src/storage/blocksstable/encoding/ob_micro_block_decoder.cpp:23 -> src/storage/truncate_info/ob_truncate_filter_evaluator.h: (include); src/storage/blocksstable/ob_micro_block_reader.cpp:23 -> src/storage/truncate_info/ob_truncate_filter_evaluator.h: (include); src/storage/blocksstable/ob_micro_block_row_scanner.cpp:25 -> src/storage/truncate_info/ob_truncate_filter_evaluator.h: (include)	no
storage-sstable	storage-tablet	src/storage/truncate_info/ob_truncate_info_kv_cache.h	1	upward-named	src/storage/blocksstable/ob_storage_cache_suite.h:26 -> src/storage/truncate_info/ob_truncate_info_kv_cache.h: (include)	no
storage-sstable	storage-tablet	src/storage/truncate_info/ob_truncate_partition_filter.h	3	upward-named	src/storage/blocksstable/ob_micro_block_row_getter.cpp:22 -> src/storage/truncate_info/ob_truncate_partition_filter.h: (include); src/storage/blocksstable/ob_micro_block_row_lock_checker.cpp:22 -> src/storage/truncate_info/ob_truncate_partition_filter.h: (include); src/storage/blocksstable/ob_micro_block_row_scanner.cpp:24 -> src/storage/truncate_info/ob_truncate_partition_filter.h: (include)	no
storage-sstable	storage-tablet	src/storage/tx_storage/ob_ls_service.h	1	upward-named	src/storage/blocksstable/ob_shared_macro_block_manager.cpp:23 -> src/storage/tx_storage/ob_ls_service.h: (include)	no
storage-sstable	storage-engine	src/data_plane/api/data_plane/ddl/ob_ddl_seq_generator.h	1	upward-named	src/storage/blocksstable/ob_macro_seq_generator.h:20 -> src/storage/ddl/ob_ddl_seq_generator.h: (include)	no
storage-sstable	storage-engine	src/storage/compaction/ob_compaction_memory_context.h	5	upward-named	src/storage/blocksstable/ob_data_store_desc.h:23 -> src/storage/compaction/ob_compaction_memory_context.h: (include); src/storage/blocksstable/ob_imicro_block_writer.h:30 -> src/storage/compaction/ob_compaction_memory_context.h: (include); src/storage/blocksstable/ob_macro_block_reader.h:28 -> src/storage/compaction/ob_compaction_memory_context.h: (include)	no
storage-sstable	storage-engine	src/storage/compaction/ob_compaction_memory_pool.h	1	upward-named	src/storage/blocksstable/ob_macro_block.h:29 -> src/storage/compaction/ob_compaction_memory_pool.h: (include)	no
storage-sstable	storage-engine	src/storage/compaction/ob_compaction_trans_cache.h	1	upward-named	src/storage/blocksstable/ob_micro_block_row_scanner.cpp:23 -> src/storage/compaction/ob_compaction_trans_cache.h: (include)	no
storage-sstable	storage-engine	src/storage/compaction/ob_compaction_util.h	4	upward-named	src/storage/blocksstable/ob_data_store_desc.h:18 -> src/storage/compaction/ob_compaction_util.h: (include); src/storage/blocksstable/ob_macro_block.h:28 -> src/storage/compaction/ob_compaction_util.h: (include); src/storage/blocksstable/ob_macro_block_writer.h:41 -> src/storage/compaction/ob_compaction_util.h: (include)	no
storage-sstable	storage-engine	src/storage/compaction/ob_sstable_merge_history.h	2	upward-named	src/storage/blocksstable/ob_macro_block.h:30 -> src/storage/compaction/ob_sstable_merge_history.h: (include); src/storage/blocksstable/ob_macro_block_writer.h:42 -> src/storage/compaction/ob_sstable_merge_history.h: (include)	no
storage-sstable	storage-engine	src/storage/compaction/ob_tablet_scheduler.h	1	upward-named	src/storage/blocksstable/ob_bloom_filter_cache.cpp:23 -> src/storage/compaction/ob_tablet_scheduler.h: (include)	no
storage-sstable	storage-engine	src/storage/ddl/ob_ddl_clog.h	1	upward-named	src/storage/blocksstable/ob_macro_block_writer.cpp:23 -> src/storage/ddl/ob_ddl_clog.h: (include)	no
storage-sstable	storage-engine	src/storage/ddl/ob_ddl_struct.h	1	upward-named	src/storage/blocksstable/ob_sstable.h:26 -> src/storage/ddl/ob_ddl_struct.h: (include)	no
storage-sstable	storage-engine	src/storage/ddl/ob_tablet_ddl_kv.h	2	upward-named	src/storage/blocksstable/index_block/ob_ddl_index_block_row_iterator.cpp:20 -> src/storage/ddl/ob_tablet_ddl_kv.h: (include); src/storage/blocksstable/ob_sstable.cpp:29 -> src/storage/ddl/ob_tablet_ddl_kv.h: (include)	no
storage-sstable	sql-expr	src/query/api/query/engine/expr/ob_expr_bm25.h	1	upward-named	src/storage/blocksstable/index_block/ob_index_block_aggregator.cpp:23 -> src/query/api/query/engine/expr/ob_expr_bm25.h: (include)	no
storage-sstable	sql-expr	src/query/api/query/engine/expr/ob_expr_util.h	1	upward-named	src/storage/blocksstable/index_block/ob_index_block_aggregator.cpp:24 -> src/query/api/query/engine/expr/ob_expr_util.h: (include)	no
storage-tx	storage-tablet	src/data_plane/api/data_plane/access/ob_table_param.h	1	upward-named	src/storage/memtable/ob_memtable_key.h:26 -> src/storage/access/ob_table_param.h: (include)	no
storage-tx	storage-tablet	src/data_plane/api/data_plane/tablelock/ob_table_lock_mode.h	2	upward-named	src/data_plane/api/data_plane/tablelock/ob_table_lock.h:21 -> src/data_plane/api/data_plane/tablelock/ob_table_lock_mode.h: (include); src/storage/tablelock/ob_table_lock_common.h:20 -> src/data_plane/api/data_plane/tablelock/ob_table_lock_mode.h: (include)	no
storage-tx	storage-tablet	src/data_plane/api/data_plane/tablelock/ob_table_lock_target.h	1	upward-named	src/data_plane/api/data_plane/tablelock/ob_session_table_lock.h:22 -> src/data_plane/api/data_plane/tablelock/ob_table_lock_target.h: (include)	no
storage-tx	storage-tablet	src/storage/access/ob_row_sample_iterator.h	1	upward-named	src/storage/memtable/ob_memtable.cpp:31 -> src/storage/access/ob_row_sample_iterator.h: (include)	no
storage-tx	storage-tablet	src/storage/access/ob_rows_info.h	3	upward-named	src/storage/memtable/mvcc/ob_mvcc_iterator.cpp:21 -> src/storage/access/ob_rows_info.h: (include); src/storage/memtable/mvcc/ob_mvcc_row.cpp:22 -> src/storage/access/ob_rows_info.h: (include); src/storage/memtable/ob_row_conflict_handler.cpp:20 -> src/storage/access/ob_rows_info.h: (include)	no
storage-tx	storage-tablet	src/storage/access/ob_sstable_row_getter.h	1	upward-named	src/storage/memtable/ob_memtable.cpp:27 -> src/storage/access/ob_sstable_row_getter.h: (include)	no
storage-tx	storage-tablet	src/storage/access/ob_store_row_iterator.h	1	upward-named	src/storage/memtable/ob_memtable_iterator.h:31 -> src/storage/access/ob_store_row_iterator.h: (include)	no
storage-tx	storage-tablet	src/storage/access/ob_table_access_context.h	2	upward-named	src/storage/memtable/ob_memtable_interface.h:26 -> src/storage/access/ob_table_access_context.h: (include); src/storage/memtable/ob_memtable_single_row_reader.cpp:19 -> src/storage/access/ob_table_access_context.h: (include)	no
storage-tx	storage-tablet	src/storage/access/ob_table_access_param.h	1	upward-named	src/storage/concurrency_control/ob_trans_stat_row.h:22 -> src/storage/access/ob_table_access_param.h: (include)	no
storage-tx	storage-tablet	src/storage/checkpoint/ob_common_checkpoint.h	4	upward-named	src/storage/memtable/ob_memtable_interface.h:30 -> src/storage/checkpoint/ob_common_checkpoint.h: (include); src/storage/tablelock/ob_lock_memtable.h:20 -> src/storage/checkpoint/ob_common_checkpoint.h: (include); src/storage/tx_table/ob_tx_ctx_memtable.h:23 -> src/storage/checkpoint/ob_common_checkpoint.h: (include)	no
storage-tx	storage-tablet	src/storage/checkpoint/ob_freeze_checkpoint.h	1	upward-named	src/storage/tx_table/ob_tx_data_memtable.h:21 -> src/storage/checkpoint/ob_freeze_checkpoint.h: (include)	no
storage-tx	storage-tablet	src/storage/ls/ob_freezer.h	4	upward-named	src/storage/memtable/mvcc/ob_mvcc_ctx.cpp:19 -> src/storage/ls/ob_freezer.h: (include); src/storage/tablelock/ob_lock_memtable_mgr.cpp:21 -> src/storage/ls/ob_freezer.h: (include); src/storage/tx_table/ob_tx_ctx_memtable_mgr.cpp:22 -> src/storage/ls/ob_freezer.h: (include)	no
storage-tx	storage-tablet	src/storage/ls/ob_ls.h	8	upward-named	src/storage/allocator/ob_shared_memory_allocator_mgr.h:27 -> src/storage/ls/ob_ls.h: (include); src/storage/memtable/mvcc/ob_mvcc_iterator.cpp:20 -> src/storage/ls/ob_ls.h: (include); src/storage/tablelock/ob_lock_table.cpp:21 -> src/storage/ls/ob_ls.h: (include)	no
storage-tx	storage-tablet	src/storage/ls/ob_ls_ddl_log_handler.h	1	upward-named	src/storage/tx/ob_tx_log_operator.h:20 -> src/storage/ls/ob_ls_ddl_log_handler.h: (include)	no
storage-tx	storage-tablet	src/storage/ls/ob_ls_tablet_service.h	1	upward-named	src/storage/tx_table/ob_tx_data_memtable.cpp:23 -> src/storage/ls/ob_ls_tablet_service.h: (include)	no
storage-tx	storage-tablet	src/storage/ls/ob_ls_tx_service.h	3	upward-named	src/storage/tx/ob_trans_ctx_mgr_v4.cpp:23 -> src/storage/ls/ob_ls_tx_service.h: (include); src/storage/tx/ob_tx_replay_executor.cpp:25 -> src/storage/ls/ob_ls_tx_service.h: (include); src/storage/tx_table/ob_tx_ctx_memtable_mgr.cpp:21 -> src/storage/ls/ob_ls_tx_service.h: (include)	no
storage-tx	storage-tablet	src/storage/meta_mem/ob_storage_meta_mem_mgr.h	2	upward-named	src/storage/tablelock/ob_lock_memtable_mgr.cpp:20 -> src/storage/meta_mem/ob_storage_meta_mem_mgr.h: (include); src/storage/tx_table/ob_tx_ctx_memtable_mgr.cpp:20 -> src/storage/meta_mem/ob_storage_meta_mem_mgr.h: (include)	no
storage-tx	storage-tablet	src/storage/meta_mem/ob_tablet_handle.h	1	upward-named	src/storage/tx_table/ob_tx_data_table.h:23 -> src/storage/meta_mem/ob_tablet_handle.h: (include)	no
storage-tx	storage-tablet	src/storage/multi_data_source/buffer_ctx.h	1	upward-named	src/storage/tx/ob_tx_ctx.h:29 -> src/storage/multi_data_source/buffer_ctx.h: (include)	no
storage-tx	storage-tablet	src/storage/multi_data_source/compile_utility/mds_register.h	1	upward-named	src/storage/tx/ob_tx_ctx.cpp:25 -> src/storage/multi_data_source/compile_utility/mds_register.h: (include)	no
storage-tx	storage-tablet	src/storage/multi_data_source/runtime_utility/mds_service.h	1	upward-named	src/storage/tx/ob_tx_ctx.cpp:28 -> src/storage/multi_data_source/runtime_utility/mds_service.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_arena_object_pool.h	1	upward-named	src/storage/tablelock/ob_mem_ctx_table_lock.h:21 -> src/storage/ob_arena_object_pool.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_common_id_utils.h	1	upward-named	src/storage/tablelock/ob_session_table_lock.cpp:22 -> src/storage/ob_common_id_utils.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_i_memtable_mgr.h	5	upward-named	src/storage/memtable/ob_memtable.h:25 -> src/storage/ob_i_memtable_mgr.h: (include); src/storage/tablelock/ob_lock_memtable_mgr.h:20 -> src/storage/ob_i_memtable_mgr.h: (include); src/storage/tablelock/ob_lock_table.h:26 -> src/storage/ob_i_memtable_mgr.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_i_store.h	7	upward-named	src/storage/memtable/mvcc/ob_mvcc_define.h:20 -> src/storage/ob_i_store.h: (include); src/storage/memtable/mvcc/ob_mvcc_row.h:25 -> src/storage/ob_i_store.h: (include); src/storage/memtable/ob_memtable.cpp:34 -> src/storage/ob_i_store.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_i_table.h	5	upward-named	src/storage/memtable/ob_memtable.cpp:33 -> src/storage/ob_i_table.h: (include); src/storage/memtable/ob_memtable_interface.h:27 -> src/storage/ob_i_table.h: (include); src/storage/tablelock/ob_lock_table.h:24 -> src/storage/ob_i_table.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_i_tablet_memtable.h	1	upward-named	src/storage/memtable/ob_memtable.h:24 -> src/storage/ob_i_tablet_memtable.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_iter_cache.h	1	upward-named	src/storage/memtable/mvcc/ob_query_engine.cpp:18 -> src/storage/ob_iter_cache.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_memtable_ctx_obj_pool.h	1	upward-named	src/storage/memtable/ob_memtable_context.h:29 -> src/storage/ob_memtable_ctx_obj_pool.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_obj_buf_array.h	1	upward-named	src/storage/memtable/ob_memtable_key.h:27 -> src/storage/ob_obj_buf_array.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_relative_table.h	1	upward-named	src/storage/tx/ob_tx_replay_executor.cpp:26 -> src/storage/ob_relative_table.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_storage_log_type.h	1	upward-named	src/storage/tx/ob_trans_submit_log_cb.h:22 -> src/storage/ob_storage_log_type.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_storage_struct.h	1	upward-named	src/storage/tx_table/ob_tx_table.h:23 -> src/storage/ob_storage_struct.h: (include)	no
storage-tx	storage-tablet	src/storage/ob_storage_table_guard.h	1	upward-named	src/storage/tx/ob_tx_replay_executor.h:24 -> src/storage/ob_storage_table_guard.h: (include)	no
storage-tx	storage-tablet	src/storage/slog/ob_storage_log_struct.h	1	upward-named	src/storage/tx/ob_id_service.h:20 -> src/storage/slog/ob_storage_log_struct.h: (include)	no
storage-tx	storage-tablet	src/storage/tablet/ob_batch_create_tablet_arg.h	2	upward-named	src/storage/memtable/ob_memtable_mutator.h:20 -> src/storage/tablet/ob_batch_create_tablet_arg.h: (include); src/storage/tablelock/ob_lock_table.h:19 -> src/storage/tablet/ob_batch_create_tablet_arg.h: (include)	no
storage-tx	storage-tablet	src/storage/tablet/ob_tablet_replay_executor.h	1	upward-named	src/storage/tx/ob_tx_replay_executor.cpp:23 -> src/storage/tablet/ob_tablet_replay_executor.h: (include)	no
storage-tx	storage-tablet	src/storage/truncate_info/ob_truncate_partition_filter.h	2	upward-named	src/storage/memtable/mvcc/ob_mvcc_row.cpp:23 -> src/storage/truncate_info/ob_truncate_partition_filter.h: (include); src/storage/memtable/ob_memtable_iterator.cpp:22 -> src/storage/truncate_info/ob_truncate_partition_filter.h: (include)	no
storage-tx	storage-tablet	src/storage/tx/ob_multi_data_source.h	1	upward-named	src/storage/tx/ob_tx_ctx_mds.h:20 -> src/storage/tx/ob_multi_data_source.h: (include)	no
storage-tx	storage-tablet	src/storage/tx/ob_multi_data_source_tx_buffer_node.h	1	upward-named	src/storage/tx/ob_trans_define.h:39 -> src/storage/tx/ob_multi_data_source_tx_buffer_node.h: (include)	no
storage-tx	storage-tablet	src/storage/tx_storage/ob_access_service.h	1	upward-named	src/storage/tablelock/ob_table_lock_local_executor.cpp:20 -> src/storage/tx_storage/ob_access_service.h: (include)	no
storage-tx	storage-tablet	src/storage/tx_storage/ob_ls_service.h	16	upward-named	src/storage/allocator/ob_tx_data_allocator.cpp:24 -> src/storage/tx_storage/ob_ls_service.h: (include); src/storage/memtable/ob_memtable.cpp:38 -> src/storage/tx_storage/ob_ls_service.h: (include); src/storage/tablelock/ob_lock_memtable.cpp:26 -> src/storage/tx_storage/ob_ls_service.h: (include)	no
