unit	files	lines	class_key	in_build
src/rootserver/parallel_ddl/ob_table_helper	src/rootserver/parallel_ddl/ob_table_helper.cpp,src/rootserver/parallel_ddl/ob_table_helper.h	731	oceanbase::rootserver::ObTableHelper	yes
src/rootserver/parallel_ddl/ob_update_index_status_helper	src/rootserver/parallel_ddl/ob_update_index_status_helper.cpp,src/rootserver/parallel_ddl/ob_update_index_status_helper.h	272	oceanbase::rootserver::ObUpdateIndexStatusHelper	yes
src/rootserver/pl_ddl/ob_pl_ddl_operator	src/rootserver/pl_ddl/ob_pl_ddl_operator.cpp,src/rootserver/pl_ddl/ob_pl_ddl_operator.h	957	oceanbase::rootserver::ObPLDDLOperator	yes
src/rootserver/pl_ddl/ob_pl_ddl_service	src/rootserver/pl_ddl/ob_pl_ddl_service.cpp,src/rootserver/pl_ddl/ob_pl_ddl_service.h	1501	oceanbase::rootserver::ObPLDDLService	yes
src/rootserver/truncate_info/ob_truncate_info_service	src/rootserver/truncate_info/ob_truncate_info_service.cpp,src/rootserver/truncate_info/ob_truncate_info_service.h	1021	oceanbase::rootserver::ObTruncateInfoService	yes
src/share/aggregate/ob_pushdown_aggregate_protocol	src/share/aggregate/ob_pushdown_aggregate_protocol.h	217	oceanbase::share::aggregate::ObAggregateSelectionView	yes
src/share/ai_service/ob_ai_service_struct	src/share/ai_service/ob_ai_model_info.h,src/share/ai_service/ob_ai_service_struct.cpp,src/share/ai_service/ob_ai_service_struct.h	479	oceanbase::share::ObAiModelEndpointInfo	yes
src/share/allocator/ob_reserve_arena	src/share/allocator/ob_reserve_arena.h	110	oceanbase::common::ObReserveArenaAllocator	yes
src/share/autoincrement/ob_i_tablet_autoincrement_admin	src/share/autoincrement/ob_i_tablet_autoincrement_admin.h	85	oceanbase::share::ObITabletAutoincrementAdmin	yes
src/share/autoincrement/ob_i_tablet_autoincrement_service	src/share/autoincrement/ob_i_tablet_autoincrement_service.h	46	oceanbase::share::ObITabletAutoincrementService	yes
src/share/cache/ob_cache_name_define	src/share/cache/ob_cache_name_define.h	30	-	yes
src/share/cache/ob_cache_type	src/share/cache/ob_cache_type.h	30	-	yes
src/share/cache/ob_cache_utils	src/share/cache/ob_cache_utils.h	617	MapPair	yes
src/share/cache/ob_kv_storecache	src/share/cache/ob_kv_storecache.cpp,src/share/cache/ob_kv_storecache.h	1364	oceanbase::common::ObKVGlobalCache	yes
src/share/cache/ob_kvcache_hazard_domain	src/share/cache/ob_kvcache_hazard_domain.cpp,src/share/cache/ob_kvcache_hazard_domain.h	700	oceanbase::common::HazardDomain	yes
src/share/cache/ob_kvcache_hazard_pointer	src/share/cache/ob_kvcache_hazard_pointer.cpp,src/share/cache/ob_kvcache_hazard_pointer.h	688	oceanbase::common::HazardPointer	yes
src/share/cache/ob_kvcache_hazard_version	src/share/cache/ob_kvcache_hazard_version.cpp,src/share/cache/ob_kvcache_hazard_version.h	474	oceanbase::common::ObKVCacheHazardStation	yes
src/share/cache/ob_kvcache_inst_map	src/share/cache/ob_kvcache_inst_map.cpp,src/share/cache/ob_kvcache_inst_map.h	580	oceanbase::common::ObKVCacheInstMap	yes
src/share/cache/ob_kvcache_map	src/share/cache/ob_kvcache_map.cpp,src/share/cache/ob_kvcache_map.h	947	oceanbase::common::ObKVCacheMap	yes
src/share/cache/ob_kvcache_store	src/share/cache/ob_kvcache_store.cpp,src/share/cache/ob_kvcache_store.h	1576	oceanbase::common::ObKVCacheStore	yes
src/share/cache/ob_kvcache_struct	src/share/cache/ob_kvcache_struct.cpp,src/share/cache/ob_kvcache_struct.h	573	oceanbase::common::ObKVMemBlockHandle	yes
src/share/cache/ob_recycle_multi_kvcache	src/share/cache/ob_recycle_multi_kvcache.h,src/share/cache/ob_recycle_multi_kvcache.ipp	599	oceanbase::common::cache::ObRecycleMultiKVCache	yes
src/share/cache/ob_vtable_event_recycle_buffer	src/share/cache/ob_vtable_event_recycle_buffer.h	178	oceanbase::common::cache::ObVtableEventRecycleBuffer	yes
src/share/compaction/ob_array_with_map	src/share/compaction/ob_array_with_map.h	149	oceanbase::share::ObArrayWithMap	yes
src/share/compaction/ob_ckm_error_tablet_info	src/share/compaction/ob_ckm_error_tablet_info.h	50	ObCkmErrorStruct	no
src/share/compaction/ob_compaction_info_param	src/share/compaction/ob_compaction_info_param.h	93	-	yes
src/share/compaction/ob_compaction_time_guard	src/share/compaction/ob_compaction_time_guard.cpp,src/share/compaction/ob_compaction_time_guard.h	519	oceanbase::compaction::ObCompactionTimeGuard	yes
src/share/compaction/ob_compaction_timer_task_mgr	src/share/compaction/ob_compaction_timer_task_mgr.cpp,src/share/compaction/ob_compaction_timer_task_mgr.h	93	oceanbase::compaction::ObCompactionTimerTask	yes
src/share/compaction/ob_new_micro_info	src/share/compaction/ob_new_micro_info.cpp,src/share/compaction/ob_new_micro_info.h	99	oceanbase::compaction::ObNewMicroInfo	yes
src/share/compaction/ob_schedule_batch_size_mgr	src/share/compaction/ob_schedule_batch_size_mgr.cpp,src/share/compaction/ob_schedule_batch_size_mgr.h	126	oceanbase::compaction::ObScheduleBatchSizeMgr	yes
src/share/compaction/ob_tablet_check_info	src/share/compaction/ob_tablet_check_info.cpp,src/share/compaction/ob_tablet_check_info.h	104	oceanbase::compaction::ObTabletCheckInfo	yes
src/share/config/ob_common_config	src/share/config/ob_common_config.cpp,src/share/config/ob_common_config.h	354	oceanbase::common::ObCommonConfig	yes
src/share/config/ob_config	src/share/config/ob_config.cpp,src/share/config/ob_config.h	2015	oceanbase::common::ObConfigItem	yes
src/share/config/ob_config_helper	src/share/config/ob_config_helper.cpp,src/share/config/ob_config_helper.h,src/share/config/ob_parallel_ddl_control_mode.h	1940	oceanbase::share::schema::ObParallelDDLControlMode	yes
src/share/config/ob_config_manager	src/share/config/ob_config_manager.cpp,src/share/config/ob_config_manager.h,src/share/config/ob_config_rpc_types.h	311	oceanbase::common::ObConfigManager	yes
src/share/config/ob_config_storage	src/share/config/ob_config_storage.cpp,src/share/config/ob_config_storage.h	317	oceanbase::common::ObConfigStorage	yes
src/share/config/ob_reload_config	src/share/config/ob_reload_config.cpp,src/share/config/ob_reload_config.h	103	oceanbase::common::ObReloadConfig	yes
src/share/config/ob_runtime_config	src/share/config/ob_runtime_config.cpp,src/share/config/ob_runtime_config.h	109	oceanbase::omt::ObRuntimeConfigGuard	yes
src/share/config/ob_server_config	src/share/config/ob_server_config.cpp,src/share/config/ob_server_config.h	473	oceanbase::common::ObServerConfig	yes
src/share/config/ob_system_config	src/share/config/ob_system_config.cpp,src/share/config/ob_system_config.h	213	oceanbase::common::ObSystemConfig	yes
src/share/config/ob_system_config_key	src/share/config/ob_system_config_key.h	95	oceanbase::common::ObSystemConfigKey	yes
src/share/config/ob_system_config_value	src/share/config/ob_system_config_value.h	175	oceanbase::common::ObSystemConfigValue	yes
src/share/datum/ob_datum_cmp_func_def	src/share/datum/ob_datum_cmp_func_def.cpp,src/share/datum/ob_datum_cmp_func_def.h	697	oceanbase::common::datum_cmp::ObDatumCollectionCmpImpl	yes
src/share/datum/ob_datum_compare	src/share/datum/ob_datum_compare.h	92	oceanbase::common::ObDatumComparator	yes
src/share/datum/ob_datum_funcs	src/share/datum/ob_datum_funcs.cpp,src/share/datum/ob_datum_funcs.h,src/share/datum/ob_datum_funcs_impl.h	2001	oceanbase::common::ObDatumFuncs	yes
src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_all	src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_all.cpp	57	-	yes
src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation	src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation.ipp	87	-	yes
src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_0	src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_0.cpp	25	-	yes
src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_1	src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_1.cpp	25	-	yes
src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_2	src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_2.cpp	25	-	yes
src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_3	src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_3.cpp	25	-	yes
src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_4	src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_4.cpp	25	-	yes
src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_5	src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_5.cpp	25	-	yes
src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_6	src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_6.cpp	25	-	yes
src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_7	src/share/datum/ob_datum_funcs_compilation/ob_datum_funcs_compilation_7.cpp	25	-	yes
src/share/datum/ob_datum_util	src/share/datum/ob_datum_util.h	139	ObConstIntMapping	yes
src/share/datum/ob_defined_collations	src/share/datum/ob_defined_collations.h	46	SupportedCollection	yes
src/share/diagnosis/ob_sql_monitor_statname	src/share/diagnosis/ob_sql_monitor_statname.cpp,src/share/diagnosis/ob_sql_monitor_statname.h	164	oceanbase::sql::ObSqlMonitorStatIds	yes
src/share/geo/ob_geo	src/share/geo/ob_geo.cpp,src/share/geo/ob_geo.h	89	oceanbase::common::ObGeometry	yes
src/share/geo/ob_geo_3d	src/share/geo/ob_geo_3d.cpp,src/share/geo/ob_geo_3d.h	1541	oceanbase::common::ObGeometry3D	yes
src/share/geo/ob_geo_affine_visitor	src/share/geo/ob_geo_affine_visitor.cpp,src/share/geo/ob_geo_affine_visitor.h	107	oceanbase::common::ObGeoAffineVisitor	yes
src/share/geo/ob_geo_bin	src/share/geo/ob_geo_bin.cpp,src/share/geo/ob_geo_bin.h	1642	oceanbase::common::ObWkbGeomInnerPoint	yes
src/share/geo/ob_geo_bin_iter	src/share/geo/ob_geo_bin_iter.h,src/share/geo/ob_geo_bin_iter.ipp	603	oceanbase::common::ObWkbConstIterator	yes
src/share/geo/ob_geo_bin_traits	src/share/geo/ob_geo_bin_traits.h	405	tag	yes
src/share/geo/ob_geo_box_clip_visitor	src/share/geo/ob_geo_box_clip_visitor.cpp,src/share/geo/ob_geo_box_clip_visitor.h	1098	oceanbase::common::ObGeoBoxClipVisitor	yes
src/share/geo/ob_geo_cache	src/share/geo/ob_geo_cache.cpp,src/share/geo/ob_geo_cache.h	202	oceanbase::common::ObCachedGeomBase	yes
src/share/geo/ob_geo_cache_linestring	src/share/geo/ob_geo_cache_linestring.cpp,src/share/geo/ob_geo_cache_linestring.h	143	oceanbase::common::ObCachedGeoLinestring	yes
src/share/geo/ob_geo_cache_point	src/share/geo/ob_geo_cache_point.cpp,src/share/geo/ob_geo_cache_point.h	76	oceanbase::common::ObCachedGeoPoint	yes
src/share/geo/ob_geo_cache_polygon	src/share/geo/ob_geo_cache_polygon.cpp,src/share/geo/ob_geo_cache_polygon.h	653	oceanbase::common::ObCachedGeoPolygon	yes
src/share/geo/ob_geo_check_empty_visitor	src/share/geo/ob_geo_check_empty_visitor.h	53	oceanbase::common::ObGeoCheckEmptyVisitor	yes
src/share/geo/ob_geo_close_ring_visitor	src/share/geo/ob_geo_close_ring_visitor.cpp,src/share/geo/ob_geo_close_ring_visitor.h	105	oceanbase::common::ObGeoCloseRingVisitor	yes
src/share/geo/ob_geo_common	src/share/geo/ob_geo_common.cpp,src/share/geo/ob_geo_common.h	406	oceanbase::common::ObWkbBuffer	yes
src/share/geo/ob_geo_coordinate_range_visitor	src/share/geo/ob_geo_coordinate_range_visitor.cpp,src/share/geo/ob_geo_coordinate_range_visitor.h	197	oceanbase::common::ObGeoCoordinateRangeVisitor	yes
src/share/geo/ob_geo_denormalize_visitor	src/share/geo/ob_geo_denormalize_visitor.cpp,src/share/geo/ob_geo_denormalize_visitor.h	99	oceanbase::common::ObGeoDeNormalizeVisitor	yes
src/share/geo/ob_geo_dispatcher	src/share/geo/ob_geo_dispatcher.h	1521	oceanbase::common::ObIGeoDispatcher	yes
src/share/geo/ob_geo_elevation_visitor	src/share/geo/ob_geo_elevation_visitor.cpp,src/share/geo/ob_geo_elevation_visitor.h	622	oceanbase::common::ObGeoElevationVisitor	yes
src/share/geo/ob_geo_func_area	src/share/geo/ob_geo_func_area.cpp,src/share/geo/ob_geo_func_area.h	136	oceanbase::common::ObGeoFuncArea	yes
src/share/geo/ob_geo_func_box	src/share/geo/ob_geo_func_box.cpp,src/share/geo/ob_geo_func_box.h	432	oceanbase::common::ObGeoFuncBox	yes
src/share/geo/ob_geo_func_buffer	src/share/geo/ob_geo_func_buffer.cpp,src/share/geo/ob_geo_func_buffer.h	763	oceanbase::common::ObGeoFuncBuffer	yes
src/share/geo/ob_geo_func_centroid	src/share/geo/ob_geo_func_centroid.cpp,src/share/geo/ob_geo_func_centroid.h	188	oceanbase::common::ObGeoFuncCentroid	yes
src/share/geo/ob_geo_func_common	src/share/geo/ob_geo_func_common.h	208	oceanbase::common::ObGeoEvalCtx	yes
src/share/geo/ob_geo_func_correct	src/share/geo/ob_geo_func_correct.cpp,src/share/geo/ob_geo_func_correct.h	265	oceanbase::common::ObGeoFuncCorrect	yes
src/share/geo/ob_geo_func_covered_by1	src/share/geo/ob_geo_func_covered_by1.cpp	507	-	yes
src/share/geo/ob_geo_func_covered_by2	src/share/geo/ob_geo_func_covered_by.h,src/share/geo/ob_geo_func_covered_by2.cpp	635	oceanbase::common::ObGeoFuncCoveredBy	yes
src/share/geo/ob_geo_func_covered_by_helper	src/share/geo/ob_geo_func_covered_by_helper.ipp	112	oceanbase::common::ObGeoFuncCoveredByImpl	yes
src/share/geo/ob_geo_func_crosses1	src/share/geo/ob_geo_func_crosses1.cpp	208	-	yes
src/share/geo/ob_geo_func_crosses2	src/share/geo/ob_geo_func_crosses.h,src/share/geo/ob_geo_func_crosses2.cpp	268	oceanbase::common::ObGeoFuncCrosses	yes
src/share/geo/ob_geo_func_crosses_helper	src/share/geo/ob_geo_func_crosses_helper.ipp	432	oceanbase::common::ObGeoFuncCrossesImpl	yes
src/share/geo/ob_geo_func_difference1	src/share/geo/ob_geo_func_difference1.cpp	371	-	yes
src/share/geo/ob_geo_func_difference2	src/share/geo/ob_geo_func_difference2.cpp	383	-	yes
src/share/geo/ob_geo_func_difference3	src/share/geo/ob_geo_func_difference.h,src/share/geo/ob_geo_func_difference3.cpp	278	oceanbase::common::ObGeoFuncDifference	yes
src/share/geo/ob_geo_func_difference_helper	src/share/geo/ob_geo_func_difference_helper.ipp	450	oceanbase::common::ObGeoFuncDifferenceImpl	yes
src/share/geo/ob_geo_func_disjoint	src/share/geo/ob_geo_func_disjoint.cpp,src/share/geo/ob_geo_func_disjoint.h	191	oceanbase::common::ObGeoFuncDisjoint	yes
src/share/geo/ob_geo_func_dissolve_polygon	src/share/geo/ob_geo_func_dissolve_polygon.cpp,src/share/geo/ob_geo_func_dissolve_polygon.h	220	oceanbase::common::ObGeoFuncDissolvePolygon	yes
src/share/geo/ob_geo_func_distance	src/share/geo/ob_geo_func_distance.cpp,src/share/geo/ob_geo_func_distance.h	286	oceanbase::common::ObGeoFuncDistance	yes
src/share/geo/ob_geo_func_distance_sphere	src/share/geo/ob_geo_func_distance_sphere.cpp,src/share/geo/ob_geo_func_distance_sphere.h	382	oceanbase::common::ObGeoFuncDistanceSphere	yes
src/share/geo/ob_geo_func_envelope	src/share/geo/ob_geo_func_envelope.cpp,src/share/geo/ob_geo_func_envelope.h	181	oceanbase::common::ObGeoFuncEnvelope	yes
src/share/geo/ob_geo_func_equals1	src/share/geo/ob_geo_func_equals1.cpp	146	-	yes
src/share/geo/ob_geo_func_equals2	src/share/geo/ob_geo_func_equals2.cpp	154	-	yes
src/share/geo/ob_geo_func_equals3	src/share/geo/ob_geo_func_equals.h,src/share/geo/ob_geo_func_equals3.cpp	343	oceanbase::common::ObGeoFuncEquals	yes
src/share/geo/ob_geo_func_equals_helper	src/share/geo/ob_geo_func_equals_helper.ipp	267	oceanbase::common::ObGeoFuncEqualsImpl	yes
src/share/geo/ob_geo_func_intersects	src/share/geo/ob_geo_func_intersects.cpp,src/share/geo/ob_geo_func_intersects.h	373	oceanbase::common::ObGeoFuncIntersects	yes
src/share/geo/ob_geo_func_isvalid	src/share/geo/ob_geo_func_isvalid.cpp,src/share/geo/ob_geo_func_isvalid.h	234	oceanbase::common::ObGeoFuncIsValid	yes
src/share/geo/ob_geo_func_length	src/share/geo/ob_geo_func_length.cpp,src/share/geo/ob_geo_func_length.h	144	oceanbase::common::ObGeoFuncLength	yes
src/share/geo/ob_geo_func_overlaps1	src/share/geo/ob_geo_func_overlaps1.cpp	178	-	yes
src/share/geo/ob_geo_func_overlaps2	src/share/geo/ob_geo_func_overlaps2.cpp	178	-	yes
src/share/geo/ob_geo_func_overlaps3	src/share/geo/ob_geo_func_overlaps.h,src/share/geo/ob_geo_func_overlaps3.cpp	218	oceanbase::common::ObGeoFuncOverlaps	yes
src/share/geo/ob_geo_func_overlaps_helper	src/share/geo/ob_geo_func_overlaps_helper.ipp	298	oceanbase::common::ObGeoFuncOverlapsImpl	yes
src/share/geo/ob_geo_func_register	src/share/geo/ob_geo_func_register.h	231	ObGeoFuncNotImplemented	yes
src/share/geo/ob_geo_func_symdifference1	src/share/geo/ob_geo_func_symdifference1.cpp	326	-	yes
src/share/geo/ob_geo_func_symdifference2	src/share/geo/ob_geo_func_symdifference.h,src/share/geo/ob_geo_func_symdifference2.cpp	567	oceanbase::common::ObGeoFuncSymDifference	yes
src/share/geo/ob_geo_func_symdifference3	src/share/geo/ob_geo_func_symdifference3.cpp	400	-	yes
src/share/geo/ob_geo_func_symdifference_helper	src/share/geo/ob_geo_func_symdifference_helper.ipp	558	oceanbase::common::ObGeoFuncSymDifferenceImpl	yes
src/share/geo/ob_geo_func_touches1	src/share/geo/ob_geo_func_touches1.cpp	124	-	yes
src/share/geo/ob_geo_func_touches2	src/share/geo/ob_geo_func_touches2.cpp	184	-	yes
src/share/geo/ob_geo_func_touches3	src/share/geo/ob_geo_func_touches.h,src/share/geo/ob_geo_func_touches3.cpp	269	oceanbase::common::ObGeoFuncTouches	yes
src/share/geo/ob_geo_func_touches_helper	src/share/geo/ob_geo_func_touches_helper.ipp	730	oceanbase::common::ObGeoFuncTouchesImpl	yes
src/share/geo/ob_geo_func_transform	src/share/geo/ob_geo_func_transform.cpp,src/share/geo/ob_geo_func_transform.h	397	oceanbase::common::ObGeoFuncTransform	yes
src/share/geo/ob_geo_func_union1	src/share/geo/ob_geo_func_union1.cpp	285	-	yes
src/share/geo/ob_geo_func_union2	src/share/geo/ob_geo_func_union.h,src/share/geo/ob_geo_func_union2.cpp	391	oceanbase::common::ObGeoFuncUnion	yes
src/share/geo/ob_geo_func_union_helper	src/share/geo/ob_geo_func_union_helper.ipp	491	oceanbase::common::ObGeoFuncUnionImpl	yes
src/share/geo/ob_geo_func_utils	src/share/geo/ob_geo_func_utils.cpp,src/share/geo/ob_geo_func_utils.h	355	oceanbase::common::ObGeoFuncUtils	yes
src/share/geo/ob_geo_func_within1	src/share/geo/ob_geo_func_within1.cpp	463	-	yes
src/share/geo/ob_geo_func_within2	src/share/geo/ob_geo_func_within.h,src/share/geo/ob_geo_func_within2.cpp	653	oceanbase::common::ObGeoFuncWithin	yes
src/share/geo/ob_geo_func_within_helper	src/share/geo/ob_geo_func_within_helper.ipp	515	oceanbase::common::ObGeoFuncWithinImpl	yes
src/share/geo/ob_geo_grid_visitor	src/share/geo/ob_geo_grid_visitor.cpp,src/share/geo/ob_geo_grid_visitor.h	297	oceanbase::common::ObGeoGridVisitor	yes
src/share/geo/ob_geo_ibin	src/share/geo/ob_geo_ibin.cpp,src/share/geo/ob_geo_ibin.h	917	oceanbase::common::ObIWkbGeogPoint	yes
src/share/geo/ob_geo_interior_point_visitor	src/share/geo/ob_geo_interior_point_visitor.cpp,src/share/geo/ob_geo_interior_point_visitor.h	594	oceanbase::common::ObGeoInteriorPointVisitor	yes
src/share/geo/ob_geo_latlong_check_visitor	src/share/geo/ob_geo_latlong_check_visitor.cpp,src/share/geo/ob_geo_latlong_check_visitor.h	213	oceanbase::common::ObGeoLatlongCheckVisitor	yes
src/share/geo/ob_geo_longtitude_correct_visitor	src/share/geo/ob_geo_longtitude_correct_visitor.cpp,src/share/geo/ob_geo_longtitude_correct_visitor.h	97	oceanbase::common::ObGeoLongtitudeCorrectVisitor	yes
src/share/geo/ob_geo_mvt	src/share/geo/ob_geo_mvt.cpp,src/share/geo/ob_geo_mvt.h	605	oceanbase::common::mvt_agg_result	yes
src/share/geo/ob_geo_mvt_encode_visitor	src/share/geo/ob_geo_mvt_encode_visitor.cpp,src/share/geo/ob_geo_mvt_encode_visitor.h	171	oceanbase::common::ObGeoMvtEncodeVisitor	yes
src/share/geo/ob_geo_normalize_visitor	src/share/geo/ob_geo_normalize_visitor.cpp,src/share/geo/ob_geo_normalize_visitor.h	122	oceanbase::common::ObGeoNormalizeVisitor	yes
src/share/geo/ob_geo_point_location_visitor	src/share/geo/ob_geo_point_location_visitor.cpp,src/share/geo/ob_geo_point_location_visitor.h	265	oceanbase::common::ObGeoPointLocationVisitor	yes
src/share/geo/ob_geo_reverse_coordinate_visitor	src/share/geo/ob_geo_reverse_coordinate_visitor.cpp,src/share/geo/ob_geo_reverse_coordinate_visitor.h	109	oceanbase::common::ObGeoReverseCoordinateVisitor	yes
src/share/geo/ob_geo_rstar_tree	src/share/geo/ob_geo_rstar_tree.h	100	oceanbase::common::ObRstarTree	yes
src/share/geo/ob_geo_segment_collect_visitor	src/share/geo/ob_geo_segment_collect_visitor.cpp,src/share/geo/ob_geo_segment_collect_visitor.h	245	oceanbase::common::ObGeoSegmentCollectVisitor	yes
src/share/geo/ob_geo_segment_intersect_analyzer	src/share/geo/ob_geo_segment_intersect_analyzer.cpp,src/share/geo/ob_geo_segment_intersect_analyzer.h	144	oceanbase::common::ObLineIntersectionAnalyzer	yes
src/share/geo/ob_geo_simplify_visitor	src/share/geo/ob_geo_simplify_visitor.cpp,src/share/geo/ob_geo_simplify_visitor.h	381	oceanbase::common::ObGeoSimplifyVisitor	yes
src/share/geo/ob_geo_to_s2_visitor	src/share/geo/ob_geo_to_s2_visitor.cpp,src/share/geo/ob_geo_to_s2_visitor.h	799	oceanbase::common::ObWkbToS2Visitor	yes
src/share/geo/ob_geo_to_tree_visitor	src/share/geo/ob_geo_to_tree_visitor.cpp,src/share/geo/ob_geo_to_tree_visitor.h	359	oceanbase::common::ObGeoToTreeVisitor	yes
src/share/geo/ob_geo_to_wkt_visitor	src/share/geo/ob_geo_to_wkt_visitor.cpp,src/share/geo/ob_geo_to_wkt_visitor.h	756	oceanbase::common::ObGeoToWktVisitor	yes
src/share/geo/ob_geo_topology_calculate	src/share/geo/ob_geo_topology_calculate.cpp,src/share/geo/ob_geo_topology_calculate.h	273	oceanbase::common::ObGeoTopology	yes
src/share/geo/ob_geo_tree	src/share/geo/ob_geo_tree.cpp,src/share/geo/ob_geo_tree.h	1761	oceanbase::common::ObCartesianBox	yes
src/share/geo/ob_geo_tree_traits	src/share/geo/ob_geo_tree_traits.h	384	tag	yes
src/share/geo/ob_geo_utils	src/share/geo/ob_geo_utils.cpp,src/share/geo/ob_geo_utils.h	3867	oceanbase::common::ObGeoTypeUtil	yes
src/share/geo/ob_geo_vertex_collect_visitor	src/share/geo/ob_geo_vertex_collect_visitor.cpp,src/share/geo/ob_geo_vertex_collect_visitor.h	103	oceanbase::common::ObGeoVertexCollectVisitor	yes
src/share/geo/ob_geo_visitor	src/share/geo/ob_geo_visitor.cpp,src/share/geo/ob_geo_visitor.h	560	oceanbase::common::ObEmptyGeoVisitor	yes
src/share/geo/ob_geo_wkb_check_visitor	src/share/geo/ob_geo_wkb_check_visitor.cpp,src/share/geo/ob_geo_wkb_check_visitor.h	367	oceanbase::common::ObGeoWkbCheckVisitor	yes
src/share/geo/ob_geo_wkb_size_visitor	src/share/geo/ob_geo_wkb_size_visitor.cpp,src/share/geo/ob_geo_wkb_size_visitor.h	132	oceanbase::common::ObGeoWkbSizeVisitor	yes
src/share/geo/ob_geo_wkb_visitor	src/share/geo/ob_geo_wkb_visitor.cpp,src/share/geo/ob_geo_wkb_visitor.h	259	oceanbase::common::ObGeoWkbVisitor	yes
src/share/geo/ob_geo_zoom_in_visitor	src/share/geo/ob_geo_zoom_in_visitor.cpp,src/share/geo/ob_geo_zoom_in_visitor.h	133	oceanbase::common::ObGeoZoomInVisitor	yes
src/share/geo/ob_geometry_cast	src/share/geo/ob_geometry_cast.cpp,src/share/geo/ob_geometry_cast.h	1307	oceanbase::common::ObGeometryTypeCastUtil	yes
src/share/geo/ob_point_location_analyzer	src/share/geo/ob_point_location_analyzer.cpp,src/share/geo/ob_point_location_analyzer.h	118	oceanbase::common::ObPointLocationAnalyzer	yes
src/share/geo/ob_s2adapter	src/share/geo/ob_s2adapter.cpp,src/share/geo/ob_s2adapter.h	544	oceanbase::common::ObS2Adapter	yes
src/share/geo/ob_srs_info	src/share/geo/ob_srs_info.cpp,src/share/geo/ob_srs_info.h	1560	oceanbase::common::ObSpatialReferenceSystemBase	yes
src/share/geo/ob_srs_provider	src/share/geo/ob_srs_provider.h	98	oceanbase::common::ObISrsSnapshot	yes
src/share/geo/ob_srs_wkt_parser	src/share/geo/ob_srs_wkt_parser.cpp,src/share/geo/ob_srs_wkt_parser.h	460	oceanbase::common::ObSrsWktParser	yes
src/share/geo/ob_wkb_byte_order_visitor	src/share/geo/ob_wkb_byte_order_visitor.cpp,src/share/geo/ob_wkb_byte_order_visitor.h	405	oceanbase::common::ObWkbByteOrderVisitor	yes
src/share/geo/ob_wkb_to_json_bin_visitor	src/share/geo/ob_wkb_to_json_bin_visitor.cpp,src/share/geo/ob_wkb_to_json_bin_visitor.h	1116	oceanbase::common::ObWkbToJsonBinVisitor	yes
src/share/geo/ob_wkb_to_json_visitor	src/share/geo/ob_wkb_to_json_visitor.cpp,src/share/geo/ob_wkb_to_json_visitor.h	722	oceanbase::common::ObWkbToJsonVisitor	yes
src/share/geo/ob_wkt_parser	src/share/geo/ob_wkt_parser.cpp,src/share/geo/ob_wkt_parser.h	760	oceanbase::common::ObWktParser	yes
src/share/inner_table/ob_dump_inner_table_schema	src/share/inner_table/ob_dump_inner_table_schema.cpp,src/share/inner_table/ob_dump_inner_table_schema.h	688	oceanbase::share::ObDumpInnerTableSchemaUtils	yes
src/share/inner_table/ob_load_inner_table_schema	src/share/inner_table/ob_load_inner_table_schema.cpp,src/share/inner_table/ob_load_inner_table_schema.h	93	oceanbase::share::ObLoadInnerTableSchemaInfo	yes
src/share/interrupt/ob_global_interrupt_call	src/share/interrupt/ob_global_interrupt_call.cpp,src/share/interrupt/ob_global_interrupt_call.h	713	oceanbase::common::ObGlobalInterruptManager	yes
src/share/interrupt/ob_interrupt_message	src/share/interrupt/ob_interrupt_message.cpp,src/share/interrupt/ob_interrupt_message.h	167	oceanbase::obcall::ObInterruptMessage	yes
src/share/io/io_schedule/ob_io_schedule_v2	src/share/io/io_schedule/ob_io_schedule_v2.cpp,src/share/io/io_schedule/ob_io_schedule_v2.h	149	oceanbase::common::ObIOScheduler	yes
src/share/io/ob_i_io_bench_controller	src/share/io/ob_i_io_bench_controller.h	42	oceanbase::common::ObIIOBenchController	yes
src/share/io/ob_io_calibration	src/share/io/ob_io_calibration.cpp,src/share/io/ob_io_calibration.h	611	oceanbase::common::ObIOCalibration	yes
